full_address,name,salesman
"1833 OSAUKA ROAD NE, SAUK RAPIDS, MN 56379-4530",INDEPENDENT SCHOOL DIST 047,Paul Fiereck
"2990 80TH st e, INVER GROVE HEIGHTS, MN 55076",INVER GROVE HEIGHTS #199,Paul Fiereck
"211 5TH ST, IPSWICH, SD 57451",IPSWICH PUBLIC SCHOOL 22-6,Paul Fiereck
"1897 Delaware Ave, Mendota Heights, MN 55118",ISD 197,Paul Fiereck
"406 W MAIN STREET, LEROY, MN 55951",ISD 499 LEROY-OSTRANDER SCHOOL,Paul Fiereck
"1630 4th St NE, Minneapolis, MN 55413",JOHN PAUL 11 ELEMENTARY,Paul Fiereck
"32130 STATE HWY 56, WALTHAM, MN 55982","K&G BUS SERVICE, LLC",Paul Fiereck
"800 BAYBERRY ST, KADOKA, SD 57543",KADOKA AREA SCHOOL DISTRICT,Paul Fiereck
,Kasson Mantorville School Distritct,Paul Fiereck
"905 N 7th St, LAKE CITY, MN 55041",Lake City Bus Lines-delete doug grisim,Paul Fiereck
"300 1ST ST NE, LAKE PRESTON, SD 57249",LAKE PRESTON PUBLIC SCHOOL,Paul Fiereck
,Lakes And Pines HeadStart,Paul Fiereck
,Lanesboro School Dist,Paul Fiereck
"206 CHESTNUT ST, LANGFORD, SD 57454",LANGFORD AREA SCHOOL DISTRICT 45-5,Paul Fiereck
"2211 Edgewood Ave S, MINNEAPOLIS, MN 55426",LAZER TRANSPORTATION SERVICE,Paul Fiereck
"320 SOUTH MAIN ST, LEAD, SD 57754",LEAD-DEADWOOD SCHOOL DIST 40-1,Paul Fiereck
"209 3RD ST W, LEMMON, SD 57638",LEMMON SCHOOL DIST #52-4,Paul Fiereck
"820 LEOLA AVE, LEOLA, SD 57456",LEOLA SCHOOL DISTRICT,Paul Fiereck
"406 West Main Street, Le Roy, MN, MN 55951",Leroy Ostrander Public School,Paul Fiereck
,Lewiston Altura Public Schools,Paul Fiereck
,LITTLE WOUND SCHOOL,Paul Fiereck
"5000 S WESTERN AVE, SIOUX FALLS, SD 57108",LUTHERAN HIGH SCHOOL,Paul Fiereck
,Lyle School District,Paul Fiereck
"201 S BIRCH AVE, PRESHO, SD 57568",LYMAN SCHOOL DISTRICT 42-1,Paul Fiereck
"800 9th st NE, Madison, SD 57042",MADISON CENTRAL SCHOOL DISTRICT 39-2,Paul Fiereck
"100 S CEDER, MARION, SD 57043",MARION SCHOOL DISTRICT 60-3,Paul Fiereck
"404 Ash St SW, ROSE CREEK, MN 55970",Mark Schmit (Schmit Bus),Paul Fiereck
"200 EAST ESSEX AVE S, SALEM, SD 57058",MCCOOK CENTRAL,Paul Fiereck
"135 MAIN, MCINTOSH, SD 57641",MCINTOSH SCHOOL DISTRICT 15-1,Paul Fiereck
"601 S MAIN ST, MCLAUGHIN, SD 57642",MCLAUGHLIN SCHOOL DISTRICT 15-2,Paul Fiereck
"1230 DOUGLAS ST, STURGIS, SD 57785",MEADE SCHOOL DISTRICT 46-1,Paul Fiereck
"1145 Medalion DR, MENDOTA HEIGHTS, MN 55120",MENDOTA HEIGHTS SCHOOLS SCHOOL DISTRICT 197,Paul Fiereck
"PO BOX 346, MENNO, SD 57045",MENNO PUBLIC SCHOOL,Paul Fiereck
"64671 120th St, ADAMS, MN 55909",Michael Schneider,Paul Fiereck
,MIDLAND HIGH SCHOOL,Paul Fiereck
"1001 EAST PARK AVE, MILLBANK, SD 57252",MILLBANK SCHOOL DISTRICT,Paul Fiereck
"623 E 4TH ST, MILLER, SD 57362",MILLER SCHOOL DISTRICT 29-4,Paul Fiereck
"2623 Kennedy St NE, Minneapolis, MN 55413",Minnesota Coaches,Paul Fiereck
"800 W 10TH AVE, MITCHELL, SD 57301",MITCHELL SCHOOL DISTRICT 17-2,Paul Fiereck
"1107 1ST AVE E, MOBRIDGE, SD 57601",MOBRIDGE-POLLOCK SCHOOL DISTRICT 62-6,Paul Fiereck
"309 S CHURCH AVE, MONTROSE, SD 57048",MONTROSE SCHOOL DISTRICT 43-2,Paul Fiereck
"400 EAST MAPLE, MORA, MN 55051",MORA PUBLIC SCHOOL DIST #332,Paul Fiereck
"PO BOX 128, NEW UNDERWOOD, SD 57761",NEW UNDERWOOD,Paul Fiereck
"501 DARTMOUTH, NEWELL, SD 57760",NEWELL SCHOOL DISTRICT,Paul Fiereck
"221 3RD ST, MELLETTE, SD 57461",NORTHWESTERN AREA SCHOOL DISTRICT,Paul Fiereck
"214 WEST 7TH ST, OELRICHS, SD 57763",OELRICHS SCHOOL,Paul Fiereck
"PO BOX 127, OGILVIE, MN 56358",OGILVIE SCHOOL DIST #333,Paul Fiereck
"220 WEST 2ND ST, RAMONA, SD 57054",OLDHAM-RAMONA SCHOOL,Paul Fiereck
"1145 Park Dr, Box 583, OWATONNA, MN 55060",Owatonna Bus Company,Paul Fiereck
"2211 Edgewood Ave S, St Louis Park, MN 55426",Park Adams,Paul Fiereck
"335 W 1ST ST, PARKER, SD 57053",PARKER SCHOOL DISTRICT,Paul Fiereck
"102 C SOUTH CHAPMAN DR, PARKSTON, SD 57366",PARKSTON SCHOOL DISTRICT 33-3,Paul Fiereck
"330 SCOTTIE AVE, PHILLIP, SD 57567",PHILLIP JAAKON SCHOOL DISTRICT 27-1,Paul Fiereck
"27784 County Rd 17, WINONA, MN 55987",Phillips Bus Service,Paul Fiereck
"211 S POPLAR AVE, PIERRE, SD 57501",PIERRE SCHOOL DISTRICT 32-2,Paul Fiereck
"210 E BROADWAY, PIERRE, SD 57501",PIERRE ST JOSEPH SCHOOL,Paul Fiereck
"404 E DAVENPORT, PLANKINTON, SD 57368",PLANKINTON SCHOOL,Paul Fiereck
,PLATTE-GEDDES COMMUNITY SCHOOL DISTRICT 11-5,Paul Fiereck
"300 6TH STREET, RAPID CITY, SD 57701",RAPID CITY AREA SCHOOL DIST 51-4,Paul Fiereck
"502 E 2ND ST, REDFIELD, SD 57469",REDFIELD PUBLIC SCHOOL,Paul Fiereck
,Rochester School District,Paul Fiereck
"41695 203RD ST, IROQUOIS, SD 57353",RON WHITES BUSING,Paul Fiereck
"po box 106, ROSHOLDT, SD 57260",ROSHOLT SCHOOL,Paul Fiereck
"102 SCHOOL ST, RUTLAND, SD 57057",RUTLAND SCHOOL DISTRICT 39-4,Paul Fiereck
,Safeway Bus,Paul Fiereck
"205 WEST ESSEX AVE, SALEM, SD 57058",SALEM ST MARYS CATHOLIC ELEMENTARY SCHOOL,Paul Fiereck
,Sauk Rapids ISD #47,Paul Fiereck
,Schafer Transportation,Paul Fiereck
"529 W 8th St, WABASHA, MN 55961",Schmidt Bus Co,Paul Fiereck
"404 ASH ST SW, ROSE CREEK, MN 55970","SCHMIT, MARK AND MARGARET",Paul Fiereck
"711 4TH ST, SCOTLAND, SD 57059",SCOTLAND SCHOOL DISTRICT 4-3,Paul Fiereck
"108 EAST DAKOTA, SELBY, SD 57472",SELBY AREA SCHOOL DISTRICT,Paul Fiereck
"206 School Street, BATESLAND, SD 57716",Iglala Lakota COUNTY SCHOOL DISTRICT,Paul Fiereck
"3100 W 41ST ST, SIOUX FALLS, SD 57105",SIOUX FALLS CATHOLIC SCHOOLS,Paul Fiereck
"6120 S CHARGER CIRCLE, SIOUX FALLS, SD 57108",SIOUX FALLS CHRISTIAN SCHOOLS,Paul Fiereck
"201 E 38TH ST, SIOUX FALLS, SD 57105",SIOUX FALLS SCHOOL DISTRICT,Paul Fiereck
"200 HANSINA AVE, VOLGA, SD 57071",SIOUX VALLEY SCHOOLS,Paul Fiereck
